Mean,Variance,Median,Lower Quartile,Upper Quartile,IQR,Skewness,Kurtosis,Peak_to_Avg,Min_Max_Ratio,Power_Range,Coefficient_Var,Label,Matrix_ID
-31.065371082792495,451.63422548050977,-23.070711866284334,-50.52834016722596,-18.927630907271382,31.60070925995458,-0.292923061494146,-1.0175691291536375,-0.17474344104560335,-12.81446002610649,74.99137961369726,-0.6840957262279089,0.0,0.0
-31.975212277883806,381.32144839474404,-34.87534572033289,-44.6513656329612,-18.466531269542582,26.18483436341862,0.03437130351865288,-0.9321751810003809,-0.07333973550949467,-28.712536657528183,69.67749139286606,-0.6107059912634409,0.0,0.0
-31.135557636609622,384.53100388031834,-22.33120109557866,-48.95467040048659,-15.477803317371903,33.47686708311469,-0.49991894238463164,-1.1082686231148862,0.1399070216986392,16.495026493377157,67.49762362669568,-0.6298092467033537,0.0,0.0
-34.582629340796466,351.2701463094801,-35.69782796455253,-45.10704703619788,-21.6686164473499,23.438430588847982,-0.11617747878905163,-0.8292456217904864,0.10346334401970944,18.69742197852469,63.32198598392182,-0.5419542307061919,0.0,0.0
-33.49725200128229,378.0750292340802,-33.256313618749815,-41.59327718817897,-21.755080448010926,19.838196740168048,-0.28913772294042345,0.5215688306505251,-0.22593267934411732,-10.728540314464881,88.76304621187253,-0.5804700499757993,0.0,0.0
-28.674686302784426,332.5402259753128,-30.76282378162735,-35.72764635694221,-17.380816398290776,18.346829958651433,-0.18868474338391655,-0.13302943259103195,-0.10944178682199635,-21.564283235882968,70.81143459981557,-0.6359506540470115,0.0,0.0
-36.72981936190215,528.152903294985,-32.353667539192486,-55.438144963176555,-19.206808451602917,36.23133651157364,-0.09460987685062057,-1.2471451148791584,-0.07576284181861498,-26.735151902371587,77.18014634520051,-0.6256926354532757,0.0,0.0
-31.46966081152476,501.6155659085842,-27.262436684005642,-53.372263019926365,-11.150585945578408,42.22167707434796,-0.4166790304874281,-1.1240180398165998,0.011851373379448808,194.63656194346774,72.21844047305163,-0.7116942227916085,0.0,0.0
-32.89424454815887,527.4608426028349,-27.118063820757783,-49.36545824949859,-17.922419952754414,31.443038296744174,-0.39456899872647905,-0.7968426183682125,-0.10421769619131288,-22.987396212879307,82.23268940744255,-0.698192525720623,0.0,0.0
-33.55520320428973,462.5002740270994,-32.36228364910771,-49.76233892242065,-17.73670798145352,32.02563094096713,0.19119569223185576,-1.042016107534341,-0.13589250894303068,-15.561520124455964,75.51888806322025,-0.6409086366647614,0.0,0.0
-26.56586300806338,661.1303960262693,-23.670911820608012,-54.94401534631288,-4.908946413061473,50.03506893325141,-0.09911590780984157,-1.4497072866062954,-0.5753143303432913,-4.11245700714182,78.13737003134469,-0.9678758051416547,1.0,0.0
-25.767837603558576,462.12156219263596,-17.523433629225956,-43.04748771916374,-7.664353270931528,35.38313444823221,-0.6366332096584658,-1.0322370248926598,0.05029749517701093,50.38035463617624,63.9997882367016,-0.8342575421948167,1.0,0.0
-24.972873134626685,352.77325037404387,-20.559884806299443,-33.81683096297316,-9.45037430964989,24.36645665332327,-0.504902282083438,-0.7571599837274419,-0.09025620360196947,-27.514568502223295,64.27060335771523,-0.7521064486696203,1.0,0.0
-29.03827982990788,457.97011994016503,-27.054406716108108,-45.02523459586845,-13.31361611546804,31.711618480400407,-0.019785370909560014,-0.9536749979998871,-0.3912986980645255,-5.7414865385005776,76.6010919603115,-0.7369663964711326,1.0,0.0
-28.053148537170575,521.1943984246457,-28.51654332726826,-42.704555497108615,-11.488612907523141,31.215942589585474,-0.08404401352196621,-0.6302704144126356,-0.4574747398973855,-5.877794445745537,88.2669097769008,-0.8138010736482194,1.0,0.0
-22.536992641944316,431.3804837560333,-14.903662313933754,-35.21576467128463,-3.888367261737012,31.32739740954762,-0.6424163915329081,-0.7626262978695091,-0.05165939874807441,-57.74391169618609,68.39245171955689,-0.921582636575015,1.0,0.0
-30.242053666902013,451.32585692269606,-33.83278529662654,-50.216231121318266,-13.610677437656058,36.60555368366221,0.17308322373499035,-1.068565485252761,-0.30468294184445294,-6.609640627216963,70.11703891064202,-0.7024797797125159,1.0,0.0
-24.070501190394246,359.7460146777345,-17.481527375428065,-38.25087210112552,-7.765397101314527,30.485474999810997,-0.5418285224957566,-0.7914180994876809,-0.14727451091386148,-18.548017532581365,69.29716093620056,-0.7879757687305399,1.0,0.0
-26.26250576364121,454.3233473395705,-29.689470172438398,-42.424103209642766,-7.980731331333434,34.443371878309335,-0.06810426450807475,-0.9361481896647632,-0.48869759132257307,-5.336985249341664,81.33155119181187,-0.8116080893160881,1.0,0.0
-27.263041539158614,479.93600031858966,-22.062217182661016,-44.91437579991255,-13.627984037778457,31.28639176213409,-0.3400187564044078,-0.7459446926089472,-0.2819583428654792,-9.530333669023385,80.94711733433903,-0.8035582396012441,1.0,0.0
-33.21896989869115,493.45928390989394,-28.67238728126585,-51.22047668879141,-14.843806787922716,36.37666990086869,-0.2230787060610268,-1.0706141763836858,-0.2052652274750516,-10.969777556035895,81.61831519284237,-0.6687125917749146,0.0,1.0
-33.42974657423799,371.83913614597014,-31.223707439236854,-52.886484086052235,-16.76013296364122,36.126351122411016,-0.19423047230257218,-1.2884465800171534,0.04893823787914627,40.38395333863998,64.43186764140577,-0.5768255175713812,0.0,1.0
-32.43733580385317,266.3293103723799,-34.249092104067,-43.49435306832131,-21.68168967945162,21.81266338886969,-0.052298878533145195,-0.6935956750509247,0.11092717854533657,18.280707694435282,62.17913379496177,-0.5031115706773428,0.0,1.0
-36.575559216524276,384.6134975024273,-36.774633056228225,-50.66475099469007,-23.04799986077405,27.61675113391602,-0.07688636152191085,-0.6658534547865687,0.030931164339884416,67.64563347024522,75.39784681644048,-0.5361931798659646,0.0,1.0
-35.576424359808115,508.99522148849366,-23.398664237359057,-53.91559307786706,-16.09164202132505,37.82395105654201,-0.5876771883751736,-1.1514293503336446,0.30231516726021407,7.355210624075453,68.35215030948774,-0.6341537366177895,0.0,1.0
-30.523866524033792,395.94111939543706,-24.380091541540068,-45.56627006013393,-11.485852064020856,34.08041799611308,-0.47024537081502094,-1.0636113517919872,0.16361058166494874,13.525883472120835,62.55460722973131,-0.651892159228197,0.0,1.0
-38.56664759391233,478.8709743262456,-37.93547958454222,-60.48893524277991,-19.763031238841187,40.72590400393872,0.19263721959719055,-1.278771106677619,0.05877145843717837,31.838062398539588,69.8981112037979,-0.56741049918142,0.0,1.0
-33.09868716789789,478.34818214759133,-27.697863241540876,-47.236470303965966,-15.133925066860341,32.10254523710562,-0.4902723868902527,-0.5440513357812722,-0.1301137298290231,-19.05826612549455,86.38280132430333,-0.6607867039878165,0.0,1.0
-33.585827545593716,343.7980051601679,-42.35255251871247,-50.534530935606135,-13.043197275404193,37.491333660201946,0.4081188857588078,-1.4203569276985102,0.0019328636140916295,882.1857499332631,57.20378016194136,-0.5520718746716469,0.0,1.0
-35.7724876970954,479.990645359973,-34.75023345490722,-51.22213851358113,-18.69460644768239,32.52753206589874,0.08113565596253726,-0.7572556161710602,-0.26894447010792577,-7.640975628549851,83.13320848403056,-0.6124452119535786,0.0,1.0
