,,Detection_Rate,Detection_Rate,Detection_Rate,Detection_Rate,False_Detection_Rate,False_Detection_Rate,False_Detection_Rate,False_Detection_Rate
Algorithm,,Agglomerative,DBSCAN,Ensemble,KMeans,Agglomerative,DBSCAN,Ensemble,KMeans
Case,Scenario_Percent,,,,,,,,
A,10,0.4,0.02,0.02,0.44,0.3111111111111111,0.0022222222222222222,0.0022222222222222222,0.5222222222222223
A,20,0.65,0.0,0.62,0.67,0.6075,0.005,0.5825,0.635
A,30,0.38666666666666666,0.006666666666666667,0.38666666666666666,0.49333333333333335,0.3914285714285714,0.002857142857142857,0.3914285714285714,0.5428571428571428
A,40,0.445,0.0,0.395,0.44,0.42333333333333334,0.01,0.36,0.4033333333333333
A,50,0.504,0.004,0.088,0.572,0.552,0.008,0.096,0.524
B,10,0.42,0.0,0.0,0.44,0.40444444444444444,0.006666666666666667,0.006666666666666667,0.5111111111111111
B,20,0.51,0.0,0.5,0.51,0.4375,0.0075,0.4225,0.445
B,30,0.5466666666666666,0.04666666666666667,0.09333333333333334,0.49333333333333335,0.5371428571428571,0.005714285714285714,0.06,0.5114285714285715
B,40,0.355,0.62,0.98,0.525,0.42,0.6266666666666667,0.9933333333333333,0.4633333333333333
B,50,0.456,0.056,0.056,0.52,0.448,0.024,0.028,0.52
C,10,1.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.6666666666666666
C,20,0.5,0.0,0.0,0.5,0.625,0.0,0.0,0.375
C,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857
C,40,1.0,0.25,1.0,0.25,0.5,0.16666666666666666,0.5,0.8333333333333334
C,50,0.6,0.0,1.0,1.0,0.6,0.0,1.0,0.6
